"","property_name","address","lat","long","method","location"
"1","Avondale Mobile Home Park","Avondale Mobile Home Park, 221 W. Main St. , avondale, AZ",33.427350005742,-112.352656934658,"census","avondale"
"2","Avari Apartments","Avari Apartments, 11580 W. Corporate Dr. , avondale, AZ",33.453669144518,-112.308571633095,"arcgis","avondale"
"3","Country Hills Mobile Estates","Country Hills Mobile Estates, 11901 W. McDowell Rd. , avondale, AZ",33.461914,-112.3162231,"arcgis","avondale"
"4","Crystal Springs","Crystal Springs, 11885 W. McDowell Rd. , avondale, AZ",33.462578143674,-112.314277529863,"arcgis","avondale"
"5","Hillcrest Villas","Hillcrest Villas, 310 S. 3rd Ave. , avondale, AZ",33.431575574344,-112.352703455378,"arcgis","avondale"
"6","Ironwood Homes at River Run","Ironwood Homes at River Run, 11951 W. Windsor Ave. , avondale, AZ",33.476418972556,-112.31578783039,"arcgis","avondale"
"7","Lennox","Lennox, 10350 W. McDowell Rd. , avondale, AZ",33.465163080704,-112.284185407816,"arcgis","avondale"
"8","Madison Heights","Madison Heights, 1110 N. Dysart Rd. , avondale, AZ",33.44482254863,-112.341456186185,"arcgis","avondale"
"9","Mountain View","Mountain View, 333 E. Van Buren St. , avondale, AZ",33.449652243149,-112.346037734461,"arcgis","avondale"
"10","Norton Circle","Norton Circle, 551 W. Norton St. , avondale, AZ",33.432574801318,-112.355269897204,"arcgis","avondale"
"11","Pecan Tree Mobile Home Park","Pecan Tree Mobile Home Park, 1214 N. 119th Ave. , avondale, AZ",33.460519003431,-112.31755954787,"arcgis","avondale"
"12","Rose Terrace","Rose Terrace, 525 E. Harrison Dr. , avondale, AZ",33.427709133098,-112.342073345716,"arcgis","avondale"
"13","The Club at Coldwater Springs","The Club at Coldwater Springs, 105 N. Links Dr. , avondale, AZ",33.44791480035,-112.313022256043,"arcgis","avondale"
"14","Chandler Gardens","Chandler Gardens, 300 E. Commonwealth Avenue , chandler, AZ",33.303446514305,-111.837414111093,"census","chandler"
"15","Chandler Village Apartments","Chandler Village Apartments, 598 N. McQueen Road , chandler, AZ",33.313410692209,-111.824157719194,"census","chandler"
"16","Chandler Ridge","Chandler Ridge, 99 W. Palomino Drive , chandler, AZ",33.343459615221,-111.843202297024,"census","chandler"
"17","Chandler Ridge","Chandler Ridge, 100 W. Palomino Drive , chandler, AZ",33.343486181048,-111.843727034172,"census","chandler"
"18","Chandler Ridge","Chandler Ridge, 102 W. Palomino Drive , chandler, AZ",33.343486181048,-111.843727034172,"census","chandler"
"19","Chandler Meadows","Chandler Meadows, 3175 N. Price Road , chandler, AZ",33.353041976463,-111.893619202672,"census","chandler"
"20","Kachina","Kachina, 1400 N. Alma School Road , chandler, AZ",33.329493847363,-111.859669253165,"arcgis","chandler"
"21","Summit Lake","Summit Lake, 3400 N. Alma School Road , chandler, AZ",33.355511903463,-111.859439924294,"arcgis","chandler"
"22","Waterside at Ocotillo","Waterside at Ocotillo, 4800 S. Alma School Road , chandler, AZ",33.237380377593,-111.862196313153,"arcgis","chandler"
"23","San Hacienda","San Hacienda, 1600 N. Arizona Avenue , chandler, AZ",33.330534334914,-111.842682907285,"arcgis","chandler"
"24","Sunshine Valley Mobile Home Park","Sunshine Valley Mobile Home Park, 1650 S. Arizona Avenue , chandler, AZ",33.28180299759,-111.841742457748,"arcgis","chandler"
"25","The Plaza Taos","The Plaza Taos, 1900 S. Arizona Avenue , chandler, AZ",33.2781039799,-111.842078739704,"arcgis","chandler"
"26","2150 Apartments","2150 Apartments, 2150 S. Arizona Avenue , chandler, AZ",33.273715760221,-111.841948065833,"arcgis","chandler"
"27","San Cierra","San Cierra, 2400 N. Arizona Avenue , chandler, AZ",33.341283161818,-111.842321311982,"arcgis","chandler"
"28","Camden","Camden, 2777 S. Arizona Avenue , chandler, AZ",33.265027247027,-111.841039970443,"arcgis","chandler"
"29","DC Heights","DC Heights, 222 W. Boston Street , chandler, AZ",33.302489702265,-111.844322575184,"arcgis","chandler"
"30","Avana","Avana, 3800 W. Chandler Boulevard , chandler, AZ",33.305814048883,-111.907224483745,"arcgis","chandler"
"31","Fairways at San Marcos","Fairways at San Marcos, 777 W. Chandler Boulevard , chandler, AZ",33.305882445213,-111.851684484562,"arcgis","chandler"
"32","Summit at San Marcos","Summit at San Marcos, 445 W. Chandler Boulevard , chandler, AZ",33.305852144633,-111.846406986865,"arcgis","chandler"
"33","Morrison Chandler","Morrison Chandler, 3950 W. Chandler Boulevard , chandler, AZ",33.306163280879,-111.909305710303,"arcgis","chandler"
"34","Encore Novo","Encore Novo, 333 E. Commonwealth Avenue , chandler, AZ",33.303264232028,-111.835957184358,"arcgis","chandler"
"35","San Cervantes","San Cervantes, 400 N . Coronado Street , chandler, AZ",33.309435617788,-111.890273928591,"arcgis","chandler"
"36","Riviera Park","Riviera Park, 125 N . Dobson Road , chandler, AZ",33.305496385594,-111.876207278192,"arcgis","chandler"
"37","Dobson Towne Center","Dobson Towne Center, 1817 N . Dobson Road , chandler, AZ",33.333366957183,-111.875820007117,"arcgis","chandler"
"38","Lakeside","Lakeside, 855 N . Dobson Road , chandler, AZ",33.31735903086,-111.876040451171,"arcgis","chandler"
"39","Soleil","Soleil, 725 N . Dobson Road , chandler, AZ",33.315309404077,-111.875666785927,"arcgis","chandler"
"40","Arista at Ocotillo","Arista at Ocotillo, 3200 S. Dobson Road , chandler, AZ",33.258822040287,-111.884115409052,"arcgis","chandler"
"41","Cornerstone Ranch","Cornerstone Ranch, 3999 S. Dobson Road , chandler, AZ",33.24501159752,-111.878634482566,"arcgis","chandler"
"42","Club Cancun","Club Cancun, 375 N . Federal Street , chandler, AZ",33.309190028025,-111.896502353203,"arcgis","chandler"
"43","Marquis at Chandler","Marquis at Chandler, 2222 W. Frye Road , chandler, AZ",33.298889004299,-111.879632180501,"arcgis","chandler"
"44","Avant at Fashion Center","Avant at Fashion Center, 555 S. Galleria Way , chandler, AZ",33.295638669886,-111.897410197136,"arcgis","chandler"
"45","The Hartford Apartments","The Hartford Apartments, 580 W. Galveston Street , chandler, AZ",33.313551677071,-111.849759915774,"arcgis","chandler"
"46","Zaterra","Zaterra, 200 W. Germann Road , chandler, AZ",33.277024390771,-111.844952139931,"arcgis","chandler"
"47","Montage","Montage, 1616 W. Germann Road , chandler, AZ",33.276578431612,-111.870394065916,"arcgis","chandler"
"48","Vive","Vive, 1901 W. Germann Road , chandler, AZ",33.275576584635,-111.873574998171,"arcgis","chandler"
"49","San Palacio","San Palacio, 2255 W. Germann Road , chandler, AZ",33.275850337593,-111.882089419236,"arcgis","chandler"
"50","Sky at Chandler Airpark","Sky at Chandler Airpark, 1441 E. Germann Road , chandler, AZ",33.276688444091,-111.817791420882,"arcgis","chandler"
"51","San Valencia","San Valencia, 1450 E. Germann Road , chandler, AZ",33.278472574092,-111.816996397365,"arcgis","chandler"
"52","Montage at Pecos Ranch","Montage at Pecos Ranch, 1616 E. Germann Road , chandler, AZ",33.277233947188,-111.811216913507,"arcgis","chandler"
"53","Gila Springs","Gila Springs, 444 N. Gila Springs Boulevard , chandler, AZ",33.307974945432,-111.94194559564,"arcgis","chandler"
"54","Ho Ho Kam Villas","Ho Ho Kam Villas, 2900 W. Highland Street , chandler, AZ",33.33178210693,-111.892049886236,"arcgis","chandler"
"55","The Met at Fashion Center","The Met at Fashion Center, 1N. Hearthstone Way , chandler, AZ",33.303440655661,-111.905215752121,"arcgis","chandler"
"56","The Village at Brighton","The Village at Brighton, 955 N. Jackson Street , chandler, AZ",33.320133650359,-111.828215574766,"arcgis","chandler"
"57","Country Brook","Country Brook, 4909 W. Joshua Boulevard , chandler, AZ",33.314717180708,-111.926762700047,"arcgis","chandler"
"58","Colonia Del Rey","Colonia Del Rey, 120 N. McQueen Road , chandler, AZ",33.304504502241,-111.82447716213,"arcgis","chandler"
"59","Noria","Noria, 2177 S. McQueen Road , chandler, AZ",33.275275674311,-111.822192255325,"arcgis","chandler"
"60","Arches at Hidden Creek","Arches at Hidden Creek, 1586 W. Mallllio Way , chandler, AZ",33.302285,-111.840103,"arcgis","chandler"
"61","Town Square","Town Square, 500 N. Metro Boulevard , chandler, AZ",33.311333280667,-111.898751301644,"arcgis","chandler"
"62","San Palmas","San Palmas, 1111N. Mission Park Boulevard , chandler, AZ",33.321679440942,-111.888554045879,"arcgis","chandler"
"63","Alante","Alante, 2222 N. McQueen Road , chandler, AZ",33.338523923111,-111.824938502081,"arcgis","chandler"
"64","Biscayne Bay","Biscayne Bay, 2022 N. Nevada Street , chandler, AZ",33.338709205081,-111.836258849053,"arcgis","chandler"
"65","Avana River Ranch","Avana River Ranch, 6152 W. Oakland Street , chandler, AZ",33.311424014769,-111.947649732208,"arcgis","chandler"
"66","Luxury Townhomes","Luxury Townhomes, 1111W. Parklane Boulevard , chandler, AZ",33.302939181823,-111.860848000208,"arcgis","chandler"
"67","Park Tower","Park Tower, 1283 W. Parklane Boulevard , chandler, AZ",33.303491130147,-111.864001020726,"arcgis","chandler"
"68","Alta Chandler","Alta Chandler, 1333 W. Parklane Boulevard , chandler, AZ",33.304487319339,-111.864550957393,"arcgis","chandler"
"69","Camden Pecos Ranch","Camden Pecos Ranch, 1175 W. Pecos Road , chandler, AZ",33.290894135503,-111.862801738019,"arcgis","chandler"
"70","Stone Oaks","Stone Oaks, 2450 W. Pecos Road , chandler, AZ",33.292039103476,-111.882974967306,"arcgis","chandler"
"71","Mira Santi","Mira Santi, 800 W. Queen Creek Road , chandler, AZ",33.262642302207,-111.854285892031,"arcgis","chandler"
"72","Ocotillo Bay","Ocotillo Bay, 1889 W. Queen Creek Road , chandler, AZ",33.260601141146,-111.878438513669,"arcgis","chandler"
"73","iMT Chandler","iMT Chandler, 235 E. Ray Road , chandler, AZ",33.31933275951,-111.838536463603,"arcgis","chandler"
"74","Arium","Arium, 250 E. Ray Road , chandler, AZ",33.320906922836,-111.838017539977,"arcgis","chandler"
"75","The Ventura","The Ventura, 3600 W. Ray Road , chandler, AZ",33.320405643117,-111.904457952783,"arcgis","chandler"
"76","Country Brook","Country Brook, 601 N. Rita Lane , chandler, AZ",33.313724721462,-111.922935020143,"arcgis","chandler"
"77","Cortland Crossing","Cortland Crossing, 900 N. Rural Road , chandler, AZ",33.318376971091,-111.929263943773,"arcgis","chandler"
"78","Kon Tiki Mobile Home Park","Kon Tiki Mobile Home Park, 555 W. Warner Road , chandler, AZ",33.334588,-111.851662,"arcgis","chandler"
"79","The Laurel","The Laurel, 800 W. Willis Road , chandler, AZ",33.284001403155,-111.854100651971,"arcgis","chandler"
"80","Mesa Art Space Lofts","Mesa Art Space Lofts, 155 S Hibbert , mesa, AZ",33.411580186204,-111.826213327316,"census","mesa"
"81","Mesa Ridge","Mesa Ridge, 650 S Country Club , mesa, AZ",33.402781378675,-111.840113972414,"census","mesa"
"82","Mesa Shadows","Mesa Shadows, 205 S Higley Rd , mesa, AZ",33.411872188968,-111.719069405924,"census","mesa"
"83","Mesa Summit Apts","Mesa Summit Apts, 505 S Roosevelt/450 S Valencia , mesa, AZ",33.406258538864,-111.881134447517,"census","mesa"
"84","Apache West MHP","Apache West MHP, 1035 W Main St | 50, 52 and 54 E Ingram | 743 E Pepper , mesa, AZ",33.414771120723,-111.853663535721,"arcgis","mesa"
"85","Alma Gardens MHP","Alma Gardens MHP, 530 S Alma School Rd , mesa, AZ",33.404857340923,-111.857128530674,"arcgis","mesa"
"86","Alma Meadows MHP","Alma Meadows MHP, 535 S Alma School Rd , mesa, AZ",33.404867315388,-111.856575492703,"arcgis","mesa"
"87","Arbor on Broadway Apts","Arbor on Broadway Apts, 660 E Broadway Rd , mesa, AZ",33.407993597634,-111.816359288905,"arcgis","mesa"
"88","Arizona Springs","Arizona Springs, 45 N Lyn Rae , mesa, AZ",33.416686762784,-111.773669166385,"arcgis","mesa"
"89","Aspen Ridge","Aspen Ridge, 820 E Brown Rd , mesa, AZ",33.43564289782,-111.813373654994,"arcgis","mesa"
"90","Aspenwood","Aspenwood, 245 S 56th St , mesa, AZ",33.410646,-111.708516,"arcgis","mesa"
"91","Aspire Mesa","Aspire Mesa, 1248 S Vineyard , mesa, AZ",33.391925782613,-111.842891868131,"arcgis","mesa"
"92","Aventerra Apts","Aventerra Apts, 1960 W Keating , mesa, AZ",33.367830074098,-111.876260559948,"arcgis","mesa"
"93","Avenue 8 Apts","Avenue 8 Apts, 1050 W 8th Ave , mesa, AZ",33.400557466503,-111.854353366352,"arcgis","mesa"
"94","Avia266 Apts","Avia266 Apts, 2354 W University , mesa, AZ",33.422394796937,-111.882206095328,"arcgis","mesa"
"95","Avilla Lehi","Avilla Lehi, 3425 E Thomas Rd , mesa, AZ",33.480669224393,-111.756528342029,"arcgis","mesa"
"96","Be Mesa Apts","Be Mesa Apts, 510 S Extension Rd , mesa, AZ",33.40551636806,-111.848597261984,"arcgis","mesa"
"97","Beacon at 601","Beacon at 601, 601 S Alma School Rd , mesa, AZ",33.403517367972,-111.85664841526,"arcgis","mesa"
"98","Brentwood West","Brentwood West, 3104 E Broadway Rd , mesa, AZ",33.408366047502,-111.764481678495,"arcgis","mesa"
"99","Broadway Point 1","Broadway Point 1, 1859 E Broadway Rd , mesa, AZ",33.407771812476,-111.790996488086,"arcgis","mesa"
"100","Broadway Point 2","Broadway Point 2, 1809 E Broadway Rd , mesa, AZ",33.40790483328,-111.792341532089,"arcgis","mesa"
"101","Broadway Vistas Apts","Broadway Vistas Apts, 2107 W Broadway Rd , mesa, AZ",33.407398063414,-111.876855088341,"arcgis","mesa"
"102","Candela Park","Candela Park, 57 N Alma School Rd , mesa, AZ",33.416182046484,-111.856384636767,"arcgis","mesa"
"103","Casa Mesa Estates","Casa Mesa Estates, 1251 S Mesa Dr , mesa, AZ",33.39181095054,-111.822713274426,"arcgis","mesa"
"104","Cimmaron","Cimmaron, 151 E 1st St , mesa, AZ",33.41703427649,-111.826906740585,"arcgis","mesa"
